c,run,jfi,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9
17,2,0.9821015702508371,0.4499127290000615,0.6094915630001196,0.6403215220016136,0.6614975900010904,0.661529552000502,0.6615447710009903,0.6615590340006747,0.6615720770005282,0.6642872160009574,0.6924101320000773
17,3,0.9991012505235554,0.7283934249990125,0.7284238629999891,0.7825384570005554,0.782560999999987,0.7825721190001786,0.7825834560007934,0.7825930359995255,0.7826013100002456,0.782610788999591,0.7906473080001888
17,4,0.9790047090249296,0.38498418900053366,0.5212103489993751,0.521238851999442,0.5570668279997335,0.5570996209989971,0.5948194470001908,0.5948493819996656,0.5948658659999637,0.6000496899996506,0.6000723199995264
17,5,0.9800762666649029,0.4025117439996393,0.5609468139991804,0.5609780300001148,0.5930226849995961,0.5995466699987446,0.5995781069996156,0.6026436390002345,0.6091470139999728,0.6091682659989601,0.6424164489999384
17,6,0.9841929985619197,0.4147691219986882,0.5887874159998319,0.5888092349996441,0.5888192040001741,0.5888272449992655,0.5888363949998165,0.5888469589990564,0.6114276519983832,0.6114485359994433,0.6114577459993598
17,7,0.9562965451910501,0.333749233999697,0.5686487700004363,0.5686818049998692,0.5686999959998502,0.568716712999958,0.5836951800010866,0.6021464100012963,0.6021704960003262,0.6144818339998892,0.6145035839999764
17,8,0.973140136706491,0.39559552499849815,0.5550778499982698,0.555105695999373,0.6023461059994588,0.6135211559994787,0.6367113069991319,0.6390460479997273,0.6390714889985247,0.6510816669997439,0.6511114839995571
17,9,0.9870309746414748,0.5152072889995907,0.6811178400002973,0.6811496970003645,0.7005113199993502,0.7261926720002521,0.7262388409999403,0.7262527679995401,0.7262615979998372,0.732672026999353,0.7326915060002648
21,0,0.9724803999983123,0.39675543200064567,0.5970530760005204,0.5970896510007151,0.6000859750001837,0.6440397619990108,0.6440616119998595,0.6440721639992262,0.644082028999037,0.6440894160004973,0.6440977719994407
21,1,0.9802344991575496,0.42124745000000985,0.5671961719999672,0.5776089840001077,0.6121884189997218,0.6196790370013332,0.6292587320003804,0.6445764470008726,0.6445998950002831,0.6480012290012382,0.6480240380005853
21,2,0.9906020533124116,0.4681320149993553,0.6128910159986845,0.6129229179987306,0.6129379869998957,0.6129506139986916,0.6129654460000893,0.6356745949997276,0.635696186000132,0.635704590999012,0.6357145309993939
21,3,0.9649248251860522,0.3539926600005856,0.5855482980005036,0.5855732470008661,0.5855864990007831,0.5855946010015032,0.5856032930005313,0.5856115710012091,0.5858139350002602,0.6192312050006876,0.6192612720005854
21,4,0.9772449026252397,0.3932254150004155,0.6019550610017177,0.6019892510012141,0.6043737960008002,0.6043944960001681,0.6044084300010582,0.604421177000404,0.6044340540011035,0.6044457860007242,0.6050981200005481
21,5,0.9658859524924972,0.37340354200023285,0.6084012800001801,0.6084284509997815,0.6084423240008618,0.6256614220001211,0.6256914470013726,0.6257055590012897,0.6257200590007415,0.6257353279997915,0.645678022001448
21,6,0.9876018368307357,0.498912258000928,0.6124111539993464,0.6808362739993754,0.6808657940000558,0.6808806450007978,0.6871815030008293,0.6872150199997122,0.6878872500001307,0.7081935620008153,0.7082166800009873
21,7,0.9511283333375267,0.326671508999425,0.5765633229984815,0.5848781369986682,0.5849389899995003,0.5850118839989591,0.5855061459988065,0.6018444209985319,0.6018780739996146,0.6069338149991381,0.6103373979985918
21,8,0.965490682535098,0.35299863399995957,0.5744350650002161,0.5746002579999185,0.5785672210004122,0.5785949550008809,0.5786098890002904,0.586871241001063,0.6097782490014652,0.609797631001129,0.6098073600005591
21,9,0.973887752779454,0.3693647960008093,0.5478859660015587,0.5479172280010971,0.55709133000164,0.5750624230004178,0.5948399200005952,0.5948702170007891,0.5970426630010479,0.5970622920012829,0.5970726520008611
25,0,0.9444695821889777,0.3196929799996724,0.5701109769997856,0.5701421670000855,0.5737939600003301,0.5738287570002285,0.6072357970006124,0.607260752000002,0.6072752050004055,0.6373094150003453,0.6373332090006443
25,1,0.9871879933459932,0.46767238000029465,0.6004973250001058,0.6274820969993016,0.6275146579991997,0.6296323339993251,0.6638271539995912,0.6638595479998912,0.6638758539993432,0.6638894259995141,0.6639031729991984
25,2,0.9692603051189628,0.37673536900001636,0.5537397030002467,0.6120347209998727,0.6120684540001093,0.6120849279996037,0.6120988839993515,0.6121155929995439,0.6253363380001247,0.6253659279991552,0.6318324730000313
25,3,0.9409796731838235,0.34657125500052643,0.6179712169996492,0.6216170400002738,0.6216487080000661,0.655428280999331,0.6573324229993887,0.679498939000041,0.6795332109995798,0.6891285719993903,0.7089918479996413
25,4,0.9877757695286934,0.5241239959996165,0.7077553549988806,0.7160688699987077,0.716103781000129,0.7161192240000673,0.733324865999748,0.733346671999243,0.7333583849995193,0.7333681339987379,0.7333768789994792
25,5,0.9837883027764036,0.45262348400137853,0.5983315430003131,0.6307595390007918,0.6597451480010932,0.6597706129996368,0.6597805330002302,0.6597922290002316,0.6598026120009308,0.6598126760000014,0.6598220060004678
25,6,0.9429401689868855,0.327187832999698,0.584401775000515,0.611069562000921,0.6184987020005792,0.6185227280002437,0.6185333740013448,0.6185454450005636,0.6262232879998919,0.6262432780004019,0.6451646000004985
25,7,0.9477021783888273,0.31220131200097967,0.5418270339996525,0.5418593270005658,0.5705099710012291,0.5737391830007255,0.5737729450011102,0.5918133390005096,0.5918434169998363,0.5971723470011057,0.5971919260009599
25,8,0.9694389316259306,0.37784571400152345,0.5756949250007892,0.5837616240005445,0.6016915500003961,0.6017601640014618,0.6017775800009986,0.6017922860010003,0.6422888500001136,0.6423192560014286,0.6493810320007469
25,9,0.96509192198399,0.36320982899997034,0.595067823998761,0.6076165499998751,0.6076510839993716,0.611243960000138,0.611655377999341,0.611668194998856,0.6116794289991958,0.6116882839996833,0.6116972219988384
29,0,0.9022034733182225,0.27164092999919376,0.5770761049989233,0.5771122520000063,0.6004638699996576,0.6004941230003169,0.6159376849991531,0.6169487690003734,0.6169687940000586,0.6242525010002282,0.6242773459998716
29,1,0.9243355877356523,0.3724575039996125,0.7464826880004694,0.7465235649997339,0.7493107560003409,0.7612392419996468,0.7612707419993967,0.7612885660000757,0.7613039730003948,0.7728858970003785,0.8186650059997191
29,2,0.938016305071695,0.30613340500167396,0.5778644530000747,0.5778943770001206,0.5779095310008415,0.5878969950008468,0.5879335290010204,0.5974827340014599,0.6040282030007802,0.6106036640012462,0.6106240839999373
29,3,0.9358165014053405,0.29728957599945716,0.5312741060006374,0.5865086159992643,0.5865307250005571,0.5865420019999874,0.5865507439993962,0.586559078999926,0.5865678899990598,0.5865761040004145,0.5865834050000558
29,4,0.9512825103777509,0.3323030370011111,0.5987620140003855,0.5987855290004518,0.5987960740003473,0.5988085099997988,0.5988187689999904,0.5988269389999914,0.5988353850007115,0.6087674379996315,0.6273441080011253
29,5,0.976078550941825,0.37104489899866167,0.5561048829986248,0.5561351669985015,0.5561511929990957,0.5561648429993511,0.5751189869988593,0.584843787999489,0.584866407998561,0.593815836999056,0.5938337349998619
29,6,0.925278404754005,0.3139849379986117,0.6424784760001785,0.6425011489991448,0.6425115869988076,0.6425219149987242,0.6425308509988099,0.6425398299998051,0.6425502269994467,0.6425596680001036,0.6425697909999144
29,7,0.9667201115270249,0.3746021330007352,0.5835217900003045,0.593285996999839,0.6200911610012554,0.6201233320007304,0.6201396790002036,0.6307454690013401,0.6307700620000105,0.6368800660002307,0.6388286460005475
29,8,0.9677766057564627,0.45187824000095134,0.6985511420007242,0.698583466000855,0.7259858500001428,0.7260152050002944,0.7571847230010462,0.7572288940009457,0.7622817909996229,0.7623108540010435,0.7748124170011579
29,9,0.9781721415334179,0.40547395999965374,0.6018392959995253,0.6018718129998888,0.6018878079994465,0.6019021729989618,0.6279858429988963,0.6280075779995968,0.6280181330002961,0.6280273519987531,0.6280366589999176
33,0,0.9289568879910906,0.29973998199966445,0.5632238340003823,0.5841155090001848,0.5959141690000251,0.6079289019999123,0.6079581800004235,0.6080218219995004,0.608040875998995,0.6260684919998312,0.6260925379992841
33,1,0.8899206728930721,0.24903567999899678,0.5664305339996645,0.5664662979997956,0.5664811400001781,0.5664966690001165,0.5900083489996177,0.5900349339990498,0.5900451349989453,0.590053848000025,0.5900624709993281
33,2,0.9308367305586412,0.2736818029989081,0.4846460560002015,0.5246547059996374,0.5530345440001838,0.5530652439992991,0.5530783499998506,0.5556640839986358,0.5556857089995901,0.5622787209995295,0.5623038510002516
33,3,0.8491530146770938,0.21502450400112139,0.533693145000143,0.5337212200010981,0.5533050060003006,0.5533390130003681,0.5842903120010305,0.5843162490000395,0.5843289820004429,0.5843392999995558,0.5843470560012065
33,4,0.9484278580848423,0.320766779999758,0.5816728280005918,0.5817029739991995,0.5817191280002589,0.5817326969990972,0.590228830000342,0.5902574239989917,0.5902744699997129,0.6091430929991475,0.6091670429996157
33,5,0.9606684192399353,0.3167075390010723,0.48616286700053024,0.5080928210009006,0.5487367530004121,0.5487594790010917,0.5487689279998449,0.5487793520005653,0.5487882560009893,0.558846784000707,0.5737201960000675
33,6,0.920772230554419,0.2828817150002578,0.5657475789994351,0.5869669290004822,0.5869895060004637,0.5869999030001054,0.5870103550005297,0.5972746440002084,0.5972936529997241,0.5973031710000214,0.5973132519993669
33,7,0.8651093547704137,0.2265701470005297,0.5594364280004811,0.5594698500008235,0.5594856269999582,0.5595009420012502,0.5595159540007444,0.5595294110007671,0.5904450750003889,0.5904687630008993,0.5904789700016408
33,8,0.8824161775662261,0.23746550300165836,0.5650953780004784,0.5651191590004601,0.5651295760017092,0.5651411329999974,0.5651498670013098,0.5651590590005071,0.5651676440011215,0.5651774699999805,0.5766833380002936
